Trip,Starttime,Endtime,vehicle_id,trip_id,event_id,milliseconds,datetime,fix_mode,lat,long,alt,speed,heading,accuracy_horiz,accuracy_vert,accuracy_speed,accuracy_heading,acc,yaw_rate,yaw_rate_dot,range,range_rate,event_marker
3344,32900,34380,54,3344,4,335600,2019-03-13T16:30:57400000001Z,4.0,42.30114176666667,-83.7063355,272.93567666666667,3.437,271.24639,0.673,1.275,0.122,0.0003699,0.0459949111522611,-0.52000427,-0.89990234,33.375,-4.125,False
3344,32900,34380,54,3344,4,335700,2019-03-13T16:30:57500000024Z,4.0,42.3011419,-83.706339525,272.92776000000003,3.437,271.24639,0.673,1.275,0.122,0.0003699,0.0963784594866923,-0.63999938,-1.35009765,33.125,-3.9375,False
3344,32900,34380,54,3344,4,335800,2019-03-13T16:30:57600000048Z,4.0,42.301142,-83.70634383333334,272.91834,3.437,271.24639,0.673,1.275,0.122,0.0003699,0.1784745829245441,-0.66000366,-7.64990234,32.875,-3.5,False
3344,32900,34380,54,3344,4,335900,2019-03-13T16:30:57700000072Z,4.0,42.301142033333335,-83.70634793333333,272.90967666666666,3.437,271.24639,0.673,1.275,0.122,0.0003699,0.2003187434483466,-0.55000305,4.94995117,32.0625,0.0,False
3344,32900,34380,54,3344,4,336000,2019-03-13T16:30:57800000096Z,4.0,42.3011421,-83.70635192,272.901202,3.437,271.24639,0.673,1.275,0.122,0.0003699,0.2469865647209536,-0.46499633,2.25,31.8125,0.0,False
3344,32900,34380,54,3344,4,336100,2019-03-13T16:30:57900000120Z,4.0,42.3011422,-83.7063562,272.8927575,3.437,271.24639,0.673,1.275,0.122,0.0003699,0.1875007556061545,-0.38000488,3.60009765,31.5625,-4.0,False
3344,32900,34380,54,3344,4,336200,2019-03-13T16:30:5884Z,4.0,42.3011422,-83.7063606,272.883,3.437,271.24639,0.673,1.275,0.122,0.0003699,0.133721007887213,-0.19999694,-2.69995117,31.3125,-4.5625,False
3344,32900,34380,54,3344,4,336300,2019-03-13T16:30:5899999989Z,4.0,42.30114222,-83.70636442,272.8752,3.437,271.24639,0.673,1.275,0.122,0.0003699,0.24625015,0.00500488,-0.44995117,31.0625,-4.9375,False
3344,32900,34380,54,3344,4,336400,2019-03-13T16:30:58199999893Z,4.0,42.3011423,-83.70636904,272.8654,3.437,271.24639,0.673,1.275,0.122,0.0003699,0.141521415609838,0.07000732,-1.80004882,30.5625,-5.1875,False
3344,32900,34380,54,3344,4,336500,2019-03-13T16:30:58299999798Z,4.0,42.3011425,-83.706373,272.8573333333333,3.437,271.24639,0.673,1.275,0.122,0.0003699,0.0458414867017301,0.16499328,-3.60009765,30.3125,-5.0625,False
3344,32900,34380,54,3344,4,336600,2019-03-13T16:30:58400000007Z,4.0,42.3011425,-83.7063805111111,272.81511333333333,3.777,270.77838,0.675,1.286,0.125,0.00036,0.1292115660516151,0.08999633,2.69995117,34.75,-8.5625,False
3344,32900,34380,54,3344,4,336700,2019-03-13T16:30:58450000019Z,4.0,42.3011425,-83.7063845,272.80801,3.777,270.77838,0.675,1.286,0.125,0.00036,0.2090748010916497,0.52000427,0.0,34.4375,-8.9375,False
3344,32900,34380,54,3344,4,336800,2019-03-13T16:30:58600000025Z,4.0,42.3011426,-83.7063895,272.79951166666666,3.777,270.77838,0.675,1.286,0.125,0.00036,0.2438388574504328,0.26499938,-13.5,33.875,-6.0625,False
3344,32900,34380,54,3344,4,336900,2019-03-13T16:30:58700000049Z,4.0,42.3011426,-83.70639435,272.7919925,3.777,270.77838,0.675,1.286,0.125,0.00036,0.2516985438016533,0.02999877,-7.64990234,28.6875,0.0,False
3344,32900,34380,54,3344,4,337000,2019-03-13T16:30:58750000061Z,4.0,42.3011427,-83.7063982,272.785,3.777,270.77838,0.675,1.286,0.125,0.00036,0.3365177352734743,0.21000671,1.80004882,28.4375,0.0,False
3344,32900,34380,54,3344,4,337100,2019-03-13T16:30:58900000097Z,4.0,42.3011427,-83.70640345,272.7760025,3.777,270.77838,0.675,1.286,0.125,0.00036,0.1776806959859424,-0.27499389,-4.5,28.125,0.0,False
3344,32900,34380,54,3344,4,337200,2019-03-13T16:30:59121Z,4.0,42.3011428,-83.70640795999999,272.76821,3.777,270.77838,0.675,1.286,0.125,0.00036,0.4597870578080841,-0.5099945,3.14990234,28.625,0.0,False
3344,32900,34380,54,3344,4,337300,2019-03-13T16:30:5950000073Z,4.0,42.3011428,-83.7064121,272.76101,3.777,270.77838,0.675,1.286,0.125,0.00036,0.2793812089287141,-0.21000671,6.75,32.25,-4.5625,False
